SKU,Description,Length_in,Width_in,Height_in,Weight_lbs,Eaches,Weekly_Picks,Tray_Config,Pick_Priority
SM-00420,Flat Washer,7.2,10.6,4.99,4.26,4,1,2,759
SM-02106,Quick Coupler,8.36,5.68,4.32,3.94,12,1,2,969
SM-02983,Check Valve,10.77,5.86,1.58,7.64,30,0,2,1391
SM-01005,Anchor Bolt,15.74,2.93,4.32,1.08,2,1,3,564
SM-00831,Gasket,9.2,4.64,2.59,1.56,18,0,2,1200
SM-01827,Latch,17.61,6.26,2.86,5.44,7,7,2,129
SM-03181,Gas Spring,7.78,7.86,0.57,1.84,6,1,2,1082
SM-00510,Fuse 10A,5.32,3.26,2.93,3.3,9,4,3,215
SM-01168,Lock Nut,7.29,7.82,2.9,5.4,16,2,2,623
SM-01695,Gas Spring,2.94,5.49,3.39,3.17,16,0,3,854
SM-01089,Needle Valve,13.88,0.89,4.61,2.55,3,5,4,87
SM-00004,Limit Switch,17.06,4.4,4.32,4.23,2,0,2,1113
SM-00983,Oil Seal,13.98,2.11,0.87,4.23,7,4,3,218
SM-00111,Connecting Link,16.81,9.51,1.07,4.39,35,3,1,124
SM-03352,Clamp,5.43,8.7,1.78,2.41,4,1,2,1102
SM-02054,Pop Rivet,13.45,9.99,3.05,2.43,6,1,1,338
SM-03111,Latch,5.63,10.32,3.92,5.18,15,3,2,561
SM-00909,Temp Sensor,14.76,7.58,4.02,5.66,6,1,2,807
SM-01151,Oil Seal,11.39,0.54,1.47,7.18,26,2,4,242
SM-00590,Fuse 30A,9.81,9.63,3.96,5.05,2,1,1,263
SM-00158,Temp Sensor,16.86,8.26,2.89,3.54,7,0,2,1133
SM-00754,Cap Screw,4.28,2.98,2.67,6.25,16,0,3,809
SM-01637,Retaining Ring,4.58,9.07,4.53,2.82,9,1,2,898
SM-02094,Die Spring,4.76,4.22,1.89,1.1,11,1,2,968
SM-00821,Flange Nut,5.76,8.75,4.28,7.19,13,1,2,798
SM-02689,Flat Washer,10.82,4.37,4.88,5.23,7,3,2,534
SM-03158,Level Switch,3.47,11.74,4.73,2.16,1,1,3,736
SM-00995,Cable Gland,0.73,4.63,4.28,7.31,4,2,4,239
SM-01454,Lock Nut,15.11,5.39,3.98,5.62,2,1,2,876
SM-02290,V-Belt,16.42,4.82,3.64,4.5,4,7,2,132
SM-02828,Fuse 30A,15.51,5.54,4.89,6.32,6,6,2,169
SM-00974,Fender Washer,11.95,11.85,3.2,4.6,5,1,1,286
SM-02193,Thrust Bearing,16.75,5.69,1.62,0.89,21,1,2,978
SM-00857,Pulley,2.32,1.99,1.95,0.54,28,10,3,30
SM-01157,Pulley,2.32,11.11,3.58,5.03,6,1,3,584
SM-00075,Piston Seal,15.68,0.56,0.98,0.71,8,0,4,460
SM-01881,Oil Cup,8.14,3.05,3.46,0.74,12,1,3,637
SM-03229,Snap Ring,17.64,2.75,2.93,7.22,4,0,3,932
SM-03395,Gas Spring,0.55,1.7,3.45,7.92,43,1,4,450
SM-00950,Limit Switch,9.95,5.84,3.84,6.79,4,5,2,213
SM-01230,Rivet,9.77,8.17,3.38,5.85,10,7,2,125
SM-02766,Relay 12V,6.59,1.72,4.47,0.65,10,6,3,135
SM-02180,Ball Bearing,2.63,3.71,1.31,4.06,16,0,3,879
SM-03387,Grease Fitting,12.47,10.92,2.47,5.05,18,1,1,399
SM-00597,Pulley,14.53,5.7,4.29,3.19,5,2,2,601
SM-01818,Handle,10.64,10.15,3.73,1.52,15,0,1,454
SM-01928,Flanged Bearing,11.63,3.82,4.38,7.86,4,8,3,68
SM-00518,Push-to-Connect Fitting,9.72,5.96,0.53,1.9,13,1,2,769
SM-00666,Gasket,5.5,4.34,1.96,0.41,21,1,2,784
SM-02798,Flange Nut,9.84,3.31,4.18,4.44,6,1,3,706
SM-02058,Retaining Ring,7.72,11.52,0.62,0.12,48,0,2,1304
SM-01634,Ball Bearing,14.36,5.53,4.44,3.06,5,0,2,1265
SM-01434,Push Button,10.83,8.06,3.18,7.08,10,1,2,871
SM-00933,Signal Lamp,9.76,0.59,4.25,5.37,1,1,4,325
SM-02100,Fuse 5A,8.59,5.37,3.11,7.43,7,0,2,1313
SM-00274,Pillow Block,9.55,3.89,1.57,7.43,18,2,3,415
SM-01758,Die Spring,10.72,8.19,4.82,3.29,7,0,2,1282
SM-02165,Hydraulic Filter,10.98,4.78,3.66,2.73,3,13,2,21
SM-02434,V-Belt,16.13,9.25,1.0,7.47,29,0,1,483
SM-02271,Gear,2.2,4.26,3.54,4.88,5,1,3,665
SM-02758,Pneumatic Actuator,13.99,5.57,0.97,3.69,10,5,2,270
SM-01782,Handle,7.59,11.14,4.46,3.68,1,2,2,646
SM-01149,Set Screw,5.62,6.55,3.05,3.55,10,2,2,621
SM-00002,Oil Cup,16.91,6.69,3.58,3.92,7,1,2,700
SM-00834,Elbow Fitting,9.68,5.29,1.43,4.2,10,2,2,609
SM-03021,Filter Cartridge,4.05,8.31,4.97,0.33,15,1,2,1066
SM-01841,Pressure Regulator,11.23,1.5,3.73,4.44,3,1,4,365
SM-03161,Circuit Breaker,4.66,8.41,2.14,5.36,14,1,2,1080
SM-01292,Rivet,4.18,5.47,1.41,6.24,11,5,2,220
SM-03098,Relay 120V,10.33,8.96,2.04,1.06,10,1,1,388
SM-03121,Key Stock,7.31,7.07,1.35,2.36,13,0,2,1403
SM-02098,Solenoid Valve,14.63,5.65,3.97,6.35,4,0,2,1311
SM-02470,Compression Spring,13.61,2.82,0.68,7.41,35,4,3,237
SM-02223,Cable Gland,12.39,8.62,3.24,6.12,8,0,2,1323
SM-02323,Air Filter,14.06,11.28,4.04,0.28,7,3,1,165
SM-00570,Pressure Regulator,0.68,4.99,4.32,2.14,13,5,4,78
SM-00133,Pressure Regulator,11.95,8.42,2.1,2.47,2,0,2,1128
SM-02747,Solenoid Valve,10.13,8.84,1.85,3.41,1,1,1,370
SM-02117,Hex Bolt,2.79,2.68,1.65,1.74,5,5,3,182
SM-01790,Tee Fitting,12.15,11.05,0.6,6.42,43,0,1,452
SM-01260,Roller Bearing,13.37,1.25,2.75,1.81,5,0,4,497
SM-02569,O-Ring,17.12,3.63,4.69,5.06,3,5,3,192
SM-02453,Stud Bolt,11.61,5.85,3.08,3.99,5,13,2,22
SM-03213,Fuse 30A,14.04,7.96,4.72,2.92,4,3,2,567
SM-00491,V-Ring Seal,4.78,7.51,1.08,6.31,10,8,2,75
SM-01478,Flanged Bearing,4.27,9.7,3.33,6.17,7,4,2,326
SM-00163,Fuse 10A,10.59,11.87,0.83,0.36,48,2,1,188
SM-01145,Pneumatic Actuator,14.46,6.29,1.86,0.34,19,1,2,838
SM-01839,Torsion Spring,4.61,10.29,4.5,2.56,7,0,2,1290
SM-01903,Ball Valve,4.12,1.67,2.22,4.99,47,1,3,639
SM-01769,Vibration Mount,14.56,2.14,1.96,6.89,4,0,3,857
SM-01315,Wiper Seal,4.81,4.36,1.58,7.68,13,0,2,1244
SM-00459,Pulley,8.96,3.47,4.06,1.44,7,3,3,278
SM-03012,Bumper,12.38,7.18,4.15,2.49,6,5,2,278
SM-03409,Rivet,14.66,10.29,0.61,7.95,49,0,1,524
SM-03085,Flange Nut,5.28,1.59,1.24,4.93,19,0,4,574
SM-01540,Shaft Seal,13.66,8.97,4.41,6.95,11,1,1,313
SM-00578,Tee Fitting,5.39,5.25,1.21,4.76,32,5,2,197
SM-01066,Shim Pack,3.87,6.15,0.69,1.93,22,1,3,573
SM-02246,Fuse 15A,2.75,5.35,2.19,4.0,4,3,3,350
SM-02313,Oil Filter,7.39,7.4,3.74,4.87,15,0,2,1333
SM-01964,Butt Splice,16.68,0.77,4.52,1.53,4,1,4,374
SM-00886,Toggle Switch,13.68,11.34,3.86,1.6,9,7,1,37
SM-03063,Vibration Mount,15.19,5.36,1.39,4.39,7,14,2,17
SM-02990,Shaft Seal,14.78,5.62,4.32,3.15,3,3,2,552
SM-03491,Vibration Mount,8.19,3.86,3.41,2.2,4,1,3,761
SM-02088,Lubrication Nipple,10.52,10.87,4.05,6.14,1,5,1,85
SM-00864,Photoelectric Sensor,15.31,6.89,1.72,4.03,18,0,2,1201
SM-02426,Master Link,4.85,11.2,1.7,4.46,28,3,2,517
SM-00331,Die Spring,17.6,5.42,3.33,7.54,10,1,2,746
SM-02241,Retaining Ring,7.95,8.62,1.03,4.85,45,1,2,986
SM-03169,Oil Seal,16.64,9.37,1.65,1.23,18,0,1,515
SM-03271,Lock Washer,12.83,11.77,3.44,4.2,5,0,1,517
SM-03355,Lock Nut,13.89,9.19,1.01,6.08,46,2,1,232
SM-02564,Flanged Bearing,17.56,6.49,3.65,5.35,2,0,2,1354
SM-03067,Proximity Sensor,13.57,5.95,0.76,0.69,11,0,2,1400
SM-02446,Relay 12V,2.02,1.22,3.16,1.85,20,4,4,137
SM-02746,Oil Seal,2.47,8.82,3.23,7.28,1,1,3,700
SM-00620,Fuse 10A,1.0,2.76,2.33,4.02,7,15,4,2
SM-02592,Roller Bearing,17.08,2.9,2.95,6.58,7,1,3,688
SM-02952,V-Belt,4.93,1.74,0.91,5.39,24,0,3,919
SM-03265,Push-to-Connect Fitting,0.28,10.16,4.88,2.75,17,0,4,580
SM-03421,Lubrication Nipple,13.71,0.96,1.29,7.71,15,1,4,452
SM-00770,Wire Connector,15.38,11.24,4.58,2.05,6,15,1,1
SM-03018,Temp Sensor,8.89,0.58,1.07,5.82,32,3,4,206
SM-02966,Fuse 15A,8.23,5.87,3.28,7.6,11,0,2,1389
SM-02874,Latch,0.62,5.92,1.27,3.32,48,2,4,270
SM-00122,Relay 24V,3.23,6.97,1.63,5.21,28,1,3,499
SM-01605,Cord Grip,2.03,9.36,4.8,3.92,11,0,3,850
SM-01098,Stud Bolt,4.98,11.81,3.94,2.28,12,1,2,830
SM-03383,Grease Fitting,3.07,8.77,4.56,1.28,8,4,3,256
SM-00164,Coupling Insert,13.35,10.31,2.58,3.79,6,1,1,241
SM-03074,Flow Control,5.3,9.46,4.96,4.19,7,0,2,1401
SM-00838,Needle Bearing,12.0,6.47,1.62,3.97,20,1,2,802
SM-01176,Hex Nut,15.3,3.74,1.4,7.59,7,5,3,162
SM-00634,Level Switch,13.0,1.6,1.76,2.02,5,4,4,119
SM-03171,Pop Rivet,3.21,5.85,1.37,5.85,40,3,3,389
SM-02302,Pneumatic Actuator,14.31,8.65,2.83,5.97,2,0,2,1331
SM-01096,Sprocket,6.1,5.73,2.8,1.09,27,1,2,829
SM-03466,Connecting Link,6.71,6.36,4.65,1.21,4,1,2,1110
SM-00544,Wire Connector,6.95,11.84,2.45,4.53,9,0,2,1177
SM-00429,Strainer Element,7.18,10.54,1.63,1.29,11,8,2,73
SM-01189,Fuse 10A,3.7,2.13,1.77,6.7,23,4,3,221
SM-02388,Hinge,6.02,5.41,4.34,7.8,17,0,2,1339
SM-00033,Breather Cap,5.44,6.89,2.8,6.7,4,3,2,371
SM-02769,Barb Fitting,1.15,9.85,3.96,1.96,2,1,4,416
SM-00216,Needle Valve,15.14,3.12,0.99,1.92,13,3,3,267
SM-01194,Proximity Sensor,5.66,9.05,3.03,2.75,19,5,2,216
SM-00823,Push-to-Connect Fitting,2.39,11.61,3.91,5.01,3,4,3,217
SM-00021,Torsion Spring,14.26,8.18,4.51,2.1,4,5,2,178
SM-01289,Oil Cup,17.71,6.1,4.98,0.46,6,2,2,629
SM-01481,Pressure Regulator,12.24,8.66,4.06,6.18,1,1,2,879
SM-03256,Snap Ring,1.31,7.04,4.92,4.45,1,5,4,115
SM-02002,Die Spring,12.62,0.9,0.75,4.3,23,1,4,376
SM-01539,Pressure Regulator,0.97,4.16,2.77,7.39,18,1,4,350
SM-02116,Lock Nut,11.71,9.88,3.48,5.03,12,5,1,86
SM-03350,Tee Fitting,14.75,1.67,1.68,7.4,22,1,3,751
SM-02877,Bumper,12.22,7.6,1.76,7.74,12,1,2,1050
SM-00106,Pneumatic Actuator,8.02,11.72,1.47,4.05,6,3,2,376
SM-01164,Oil Cup,7.7,2.08,4.77,2.06,1,0,3,834
SM-01953,Roll Pin,0.73,3.8,2.29,0.49,32,14,4,8
SM-02132,Push-to-Connect Fitting,13.56,10.49,0.82,2.95,25,10,1,17
SM-01701,Proximity Sensor,5.33,3.13,0.7,4.76,18,1,3,627
SM-02882,Pillow Block,7.2,6.81,3.6,4.95,1,1,2,1051
SM-03237,Solenoid Valve,9.01,0.5,1.87,6.14,21,1,4,439
SM-00058,Lock Washer,4.19,2.52,0.6,4.97,49,2,3,409
SM-00171,Relay 24V,12.48,0.5,1.93,3.46,1,2,4,224
SM-00210,Breather Cap,14.31,1.16,4.02,7.44,3,1,4,288
SM-02379,Pneumatic Actuator,11.27,6.82,2.13,5.95,10,1,2,1002
SM-01195,Thrust Bearing,6.35,3.69,2.72,2.5,9,15,3,2
SM-00003,Pop Rivet,14.85,9.57,4.07,6.89,4,1,1,235
SM-01305,Blind Rivet,11.52,8.77,2.18,0.65,10,3,2,452
SM-00866,Dowel Pin,14.08,1.78,0.51,3.81,30,6,3,117
SM-01282,Shaft Seal,12.06,2.51,1.2,6.04,8,8,3,61
SM-02951,Shock Absorber,3.01,1.05,3.65,2.9,22,0,4,567
SM-02956,Air Cylinder,14.58,3.31,2.33,7.37,5,0,3,920
SM-00662,Clamp,1.13,5.28,3.25,6.05,7,0,4,479
SM-00938,Wave Spring,11.62,4.36,4.62,1.03,10,1,2,814
SM-01624,V-Belt,1.95,9.55,3.04,4.63,15,0,3,852
SM-01338,LED Indicator,17.01,9.43,1.5,0.59,3,0,1,439
SM-02982,Lock Nut,1.96,9.94,1.31,6.78,37,0,3,922
SM-02861,Hydraulic Filter,15.53,4.82,1.12,0.72,31,4,2,357
SM-03424,Fuse 15A,5.95,8.94,1.6,1.83,22,3,2,582
SM-03233,Filter Cartridge,3.28,3.28,4.39,2.05,14,0,3,933
SM-00893,Ball Valve,9.45,1.61,3.58,5.75,2,1,4,321
SM-00241,Clamp,13.15,2.48,1.83,0.78,15,3,3,268
SM-02728,Check Valve,11.39,9.82,0.74,1.06,41,5,1,92
SM-01381,Threaded Rod,8.25,8.02,4.77,0.89,10,2,2,632
SM-02450,Shock Absorber,5.78,7.18,0.89,0.66,5,3,2,520
SM-02903,Hex Nut,7.09,11.78,4.02,7.24,6,1,2,1056
SM-03167,Belt,3.55,11.85,4.7,7.99,3,0,3,927
SM-02000,Fender Washer,11.48,4.69,1.07,7.72,32,1,2,946
SM-02563,Pressure Regulator,8.69,6.25,1.97,1.71,24,0,2,1353
SM-01250,Pillow Block,16.08,1.06,2.14,5.0,2,1,4,342
SM-02194,Shaft Seal,3.49,5.63,2.25,2.5,22,1,3,659
SM-01253,Fuse 5A,2.68,9.63,3.78,5.5,9,1,3,590
SM-00110,Clamp,0.46,4.47,1.37,3.49,21,0,4,461
SM-03472,Fuse 15A,3.86,4.01,3.48,2.36,4,9,3,50
SM-00673,Snap Ring,8.65,6.96,4.83,0.06,9,3,2,412
SM-02654,Push Button,3.23,4.71,4.76,2.31,1,1,3,694
SM-01325,DIN Rail Mount,4.71,4.68,2.01,2.18,39,3,2,453
SM-03468,Gear,5.8,9.97,4.38,7.91,6,1,2,1111
SM-02838,Elbow Fitting,13.08,9.34,1.47,6.54,33,1,1,375
SM-00496,Filter Cartridge,17.26,9.67,4.7,1.64,7,5,1,58
SM-00474,Terminal Block,2.48,1.82,3.75,0.28,24,0,3,790
SM-02021,Breather Cap,0.47,2.22,1.46,2.96,46,1,4,381
SM-00137,Torsion Spring,12.29,7.6,0.58,3.64,18,2,2,590
SM-02226,Sprocket,4.36,0.86,1.18,6.21,4,5,4,102
SM-03334,Belt,10.35,5.8,2.91,7.3,19,5,2,289
SM-03140,Timing Belt,12.39,8.72,4.53,6.75,3,0,2,1405
SM-00532,Wave Spring,16.45,5.76,4.41,0.18,2,6,2,149
SM-00123,Bumper,3.42,8.95,1.71,7.02,19,5,3,145
SM-01690,Pin Terminal,11.26,4.39,2.77,7.22,7,1,2,903
SM-02778,Wing Nut,6.77,11.75,2.54,4.27,5,7,2,139
SM-00535,Dowel Pin,1.69,5.1,1.82,7.7,23,0,3,795
SM-00062,Vibration Mount,0.55,5.61,2.49,5.95,5,0,4,459
SM-02922,DIN Rail Mount,13.71,6.9,3.88,1.08,5,1,2,1060
SM-00092,Hex Bolt,13.78,7.9,2.53,3.98,12,0,2,1124
SM-00486,Cord Grip,6.48,0.57,3.93,6.45,9,0,4,475
SM-02509,Air Cylinder,9.93,3.6,2.98,3.65,9,1,3,681
SM-02820,Wing Nut,13.3,2.72,3.1,5.34,2,1,3,709
SM-00769,Chain Link,4.15,8.52,4.81,3.85,14,4,2,308
SM-01411,Flow Control,8.29,1.69,3.57,4.3,7,15,3,3
SM-03068,Thrust Bearing,0.99,6.1,1.63,7.46,1,8,4,42
SM-03487,Cable Gland,9.73,9.96,1.84,3.35,13,0,1,526
SM-01226,Hydraulic Filter,5.15,10.18,4.65,6.24,4,6,2,153
SM-01532,Gear,16.2,1.89,4.16,5.41,2,8,3,65
SM-00324,Coupling Insert,11.98,3.65,3.12,0.98,1,0,3,780
SM-01202,Toggle Switch,10.07,11.31,0.73,3.22,2,13,1,5
SM-01416,Filter Cartridge,9.3,4.18,2.88,2.18,25,2,2,635
SM-01720,Flow Control,4.92,6.03,3.9,0.79,18,1,2,908
SM-01603,Fender Washer,11.08,3.72,4.74,3.02,1,1,3,614
SM-01786,Spade Terminal,14.59,8.68,2.97,3.7,3,1,2,917
SM-02599,Pin Terminal,2.54,5.39,4.71,6.06,15,1,3,691
SM-02364,Tee Fitting,8.1,6.49,1.54,2.52,28,0,2,1335
SM-01106,Elbow Fitting,9.37,7.62,4.74,5.55,7,1,2,832
SM-03295,Contactor,5.47,4.15,2.24,3.72,12,0,2,1415
SM-01426,Set Screw,9.51,1.15,2.47,4.88,5,8,4,32
SM-02311,Vibration Mount,0.5,3.58,1.26,3.63,3,7,4,59
SM-00853,Lock Washer,14.17,11.56,3.3,6.04,7,1,1,282
SM-01459,Rocker Switch,6.66,8.21,3.91,6.12,15,1,2,877
SM-00377,Fuse 10A,3.59,11.72,0.92,5.94,2,3,3,274
SM-00348,Straight Fitting,1.29,1.51,2.09,5.78,11,0,4,467
SM-01673,Die Spring,7.73,3.09,3.55,3.51,1,1,3,624
SM-03170,Coupling Insert,2.31,2.89,3.71,4.83,14,1,3,738
SM-03435,Grease Fitting,12.63,2.06,3.6,5.16,4,2,3,481
SM-02727,Fender Washer,1.36,2.56,2.59,7.65,23,3,4,196
SM-01147,V-Ring Seal,2.64,3.94,4.88,6.91,4,1,3,581
SM-03210,Chain Link,3.52,9.68,4.29,6.16,3,1,3,740
SM-00934,Grease Fitting,13.21,7.61,3.27,0.43,2,1,2,812
SM-00418,Shim Pack,15.66,4.08,3.47,7.62,7,3,2,397
SM-01526,Wave Spring,4.44,7.7,3.41,1.14,16,5,2,227
SM-03222,Terminal Block,17.64,8.9,3.81,0.79,8,5,1,98
SM-01256,Die Spring,4.82,2.72,1.01,0.85,24,1,3,591
SM-00103,Cable Gland,12.46,1.85,1.45,7.88,28,0,3,767
SM-00411,Master Link,3.7,8.85,0.76,6.53,24,2,3,417
SM-00460,Check Valve,2.81,11.18,1.12,7.67,8,12,3,14
SM-02207,Elbow Fitting,4.9,2.76,3.01,4.01,15,1,3,660
SM-00953,Fuse 10A,12.17,10.36,3.59,6.31,7,8,1,25
SM-02455,Belt,6.56,2.72,1.3,6.09,7,3,3,359
SM-00890,Straight Fitting,15.52,11.4,4.69,3.33,2,3,1,140
SM-01276,Butt Splice,9.24,11.06,3.13,0.82,19,1,1,299
SM-02708,Set Screw,14.57,8.41,4.67,4.14,5,1,2,1038
SM-02726,Flat Washer,8.84,1.96,1.18,2.49,29,4,3,244
SM-00384,Pulley,2.7,11.37,2.85,0.56,5,0,3,785
SM-01447,Clamp,12.96,8.67,4.92,0.45,2,1,2,874
SM-00653,Level Switch,1.86,2.1,0.53,0.9,31,12,3,15
SM-02151,V-Ring Seal,11.0,8.94,2.47,6.62,14,1,1,341
SM-03320,Flow Control,6.1,8.51,2.46,0.5,26,0,2,1419
SM-02683,Cap Screw,16.53,8.5,4.66,6.41,3,1,2,1036
SM-01127,Elbow Fitting,1.18,3.88,1.01,5.03,37,1,4,337
SM-03372,Tee Fitting,15.08,1.92,1.96,3.9,4,7,3,112
SM-02043,Circuit Breaker,15.41,1.42,1.73,7.96,3,1,4,382
SM-01644,Fuse 30A,8.96,0.93,1.86,1.23,6,3,4,174
SM-01900,Proximity Sensor,15.38,10.17,4.9,4.89,1,1,1,332
SM-00699,Fuse 30A,17.61,2.11,2.86,0.72,8,3,3,291
SM-01461,Retaining Ring,1.75,7.55,2.37,5.89,34,2,3,441
SM-01047,Hydraulic Filter,2.87,10.4,1.85,1.05,6,6,3,119
SM-01497,Fuse 10A,14.81,1.37,0.6,3.41,19,6,4,73
SM-02521,Wing Nut,14.76,8.66,4.61,2.65,5,6,2,166
SM-00408,Relay 120V,2.08,2.44,3.19,3.26,17,0,3,786
SM-00376,Pin Terminal,6.97,3.64,4.99,2.64,4,1,3,519
SM-01445,Cotter Pin,17.04,4.89,2.16,7.26,8,1,2,872
SM-00398,Photoelectric Sensor,4.6,6.34,4.16,7.96,24,1,2,755
SM-02178,Snap Ring,6.2,7.8,1.32,0.96,13,2,2,656
SM-02787,Oil Filter,16.16,1.7,1.71,2.78,2,9,3,46
SM-02372,V-Ring Seal,6.27,1.71,4.67,0.05,5,2,3,455
SM-02849,Shaft Seal,1.96,6.37,3.9,2.62,21,1,3,712
SM-00138,Relay 12V,13.93,1.99,2.84,7.79,9,8,3,52
SM-02782,Wave Spring,16.11,3.77,3.92,3.19,4,1,3,704
SM-03483,LED Indicator,2.9,1.69,3.07,4.9,7,3,3,408
SM-01336,Flanged Bearing,17.32,11.94,1.1,6.47,8,1,1,303
SM-02605,Timing Belt,16.51,6.45,2.03,4.3,5,7,2,138
SM-00315,Anchor Bolt,16.65,3.56,4.49,6.42,4,3,3,271
SM-03284,Photoelectric Sensor,17.93,8.22,4.43,6.17,2,0,2,1413
SM-00379,Limit Switch,11.26,3.45,4.03,2.96,5,1,3,520
SM-01155,Gasket,6.76,2.4,3.39,7.81,16,1,3,583
SM-03358,Die Spring,17.86,9.11,0.88,5.46,39,0,1,520
SM-02999,Key Stock,8.67,3.46,1.33,2.24,8,3,3,382
SM-02845,Pop Rivet,2.19,0.64,1.18,4.28,3,1,4,421
SM-02699,Air Filter,5.72,9.81,4.05,4.39,13,4,2,353
SM-00295,Die Spring,12.06,8.51,2.64,0.46,1,0,2,1150
SM-02415,Ring Terminal,4.72,9.22,3.55,0.2,22,5,2,258
SM-02670,Grease Fitting,7.72,7.08,1.2,6.43,24,0,2,1364
SM-02411,Air Filter,14.41,7.77,4.61,0.92,3,0,2,1341
SM-01643,Cable Gland,9.99,10.76,2.14,4.51,9,3,1,153
SM-01516,Hex Nut,3.24,3.84,4.25,6.33,5,3,3,326
SM-02549,Hex Nut,3.31,6.81,1.8,0.48,12,10,3,36
SM-01214,Connecting Link,14.74,6.07,2.68,6.55,6,4,2,319
SM-01038,Rivet,5.28,4.72,1.93,6.96,9,12,2,29
SM-02504,Grease Fitting,1.83,11.61,4.26,0.52,1,1,3,680
SM-01199,Snap Ring,5.04,7.76,4.89,5.08,8,0,2,1232
SM-02200,Level Switch,10.25,4.99,4.62,0.62,6,0,2,1322
SM-00613,Pin Terminal,10.02,10.85,0.63,4.93,44,1,1,265
SM-01983,O-Ring,16.69,1.2,1.24,1.33,10,0,4,528
SM-02709,Piston Seal,10.69,8.68,0.59,3.4,2,1,2,1039
SM-00340,Shaft Seal,8.95,7.14,3.53,3.07,14,0,2,1153
SM-01967,LED Indicator,6.39,9.3,4.42,7.14,13,4,2,339
SM-03275,Wiper Seal,16.78,5.11,3.84,0.08,10,2,2,688
SM-02150,Lock Washer,0.29,10.54,1.91,7.91,33,3,4,182
SM-01059,Fuse 15A,17.65,8.54,3.12,5.85,5,1,2,825
SM-03230,Lock Nut,16.2,1.12,1.87,6.01,6,11,4,17
SM-02557,Bumper,14.24,10.65,2.2,6.88,5,5,1,91
SM-00922,Compression Spring,7.3,8.08,0.64,5.81,13,5,2,210
SM-01496,Flow Control,3.8,5.34,3.2,6.58,3,1,3,610
SM-00239,Strainer Element,8.79,3.37,1.24,4.14,19,9,3,41
SM-01621,Fuse 5A,1.9,0.69,3.61,7.34,7,1,4,353
SM-03040,Belt,2.74,7.55,3.98,7.55,7,3,3,384
SM-02130,Chain Link,17.45,9.76,1.43,3.68,20,3,1,159
SM-01453,Overload Relay,9.68,8.95,3.72,2.53,14,1,1,309
SM-02759,Fender Washer,7.58,4.6,4.14,1.94,7,0,2,1375
SM-02190,Pop Rivet,9.05,2.34,2.46,1.88,3,3,3,348
SM-02837,Filter Cartridge,14.05,9.71,3.82,7.86,7,4,1,119
SM-01792,Shock Absorber,14.56,9.22,2.25,0.06,17,0,1,453
SM-00750,Flow Control,9.77,3.82,0.73,1.68,18,0,3,808
SM-03382,Gear,6.69,1.95,4.25,1.05,6,5,3,206
SM-02574,Clevis Pin,15.35,9.41,0.71,1.5,49,3,1,169
SM-00228,Anchor Bolt,8.78,0.98,1.58,7.12,14,1,4,290
SM-03097,Connecting Link,10.81,10.55,5.0,3.57,2,9,1,20
SM-00427,Air Filter,2.06,5.68,4.37,4.02,10,7,3,79
SM-02050,Limit Switch,17.68,7.35,0.62,1.94,13,3,2,495
SM-02222,Hinge,11.47,0.81,4.26,0.56,5,2,4,260
SM-01353,Roll Pin,14.51,1.65,0.58,7.9,43,3,3,319
SM-00561,Handle,14.61,11.1,3.62,1.69,6,1,1,260
SM-01676,Extension Spring,3.29,11.01,3.24,5.01,6,1,3,625
SM-03448,Bumper,2.08,8.16,3.1,3.08,12,1,3,757
SM-02929,Lock Nut,11.76,5.09,1.65,4.46,17,0,2,1386
SM-02219,Pop Rivet,16.99,9.83,2.76,5.8,12,0,1,475
SM-01159,Die Spring,17.92,4.18,2.11,2.5,20,4,2,317
SM-00918,Knob,14.11,6.85,3.29,2.29,8,5,2,209
SM-01197,Retaining Ring,17.73,9.57,2.88,2.84,9,3,1,144
SM-01798,Flat Washer,11.03,5.22,3.43,3.98,4,10,2,52
SM-00217,Needle Bearing,9.21,5.32,4.58,4.2,5,3,2,381
SM-03149,Blind Rivet,0.45,3.69,1.54,1.97,33,2,4,272
SM-02754,Lip Seal,0.26,5.74,4.18,1.09,35,2,4,268
SM-02361,Cord Grip,16.11,4.12,1.22,1.18,29,4,2,346
SM-02093,V-Belt,7.07,10.24,2.03,7.55,2,1,2,967
SM-01970,Photoelectric Sensor,17.37,1.06,1.39,4.32,6,5,4,99
SM-02540,Flanged Bearing,10.44,3.05,1.06,1.14,2,0,3,891
SM-00212,Strainer Element,11.91,2.06,0.82,5.66,13,2,3,413
SM-00552,Fuse 10A,7.62,7.25,4.9,7.96,3,6,2,150
SM-02989,Retaining Ring,5.78,2.0,4.66,5.1,10,0,3,923
SM-01239,Wire Connector,13.1,5.26,4.64,4.36,4,1,2,848
SM-00044,Machine Screw,4.27,3.61,2.19,1.21,22,4,3,208
SM-01535,Filter Cartridge,7.87,7.39,3.69,7.97,12,1,2,887
SM-02014,Level Switch,6.79,6.54,1.68,0.97,44,3,2,494
SM-00787,Gasket,2.56,11.23,0.55,0.98,33,1,3,544
SM-02663,Check Valve,12.38,9.65,3.0,4.76,11,0,1,490
SM-02046,Cord Grip,13.82,5.1,1.18,4.55,10,0,2,1302
SM-01880,Lubrication Nipple,13.01,2.46,2.48,4.29,6,1,3,636
SM-01803,Contactor,17.34,10.96,1.16,5.91,12,1,1,326
SM-00262,DIN Rail Mount,5.83,1.2,1.99,0.16,6,2,4,227
